"Year","Region","DOY_Start","DOY_End","DOY_cum25","DOY_cum50","DOY_cum75","N","Condition_factor","MDM_area","SSB","Mean_age","ICOADS.SST.mar.intp","ICOADS.SST.apr.int","FWinput.total","FWinput.total.t","NCEP.SST.fa","NCEP.SST.wi","NCEP.SST.sp","NCEP.MerWind.fa","NCEP.MerWind.wi","NCEP.MerWind.sp","NCEP.ZonWind.fa","NCEP.ZonWind.wi","NCEP.ZonWind.sp","Upwell.fa","Upwell.wi","Upwell.sp","a.MEI.v2.wi","a.MEI.v2.su","a.NPGO.wi","a.NPGO.su","a.PDO.wi","a.PDO.su","a.PNA.wi","a.PNA.su","RS_SSB_10","RS_SSB_5","RS_SP_10","RS_SP_5"
2009,"WPWS",112,133,117,117,119,9,1.40584198102179,5.361143298,24.11,3.06896551724138,3.647651,4.138915,40679636992,4.0679636992,6.347,2.275,0.973,-0.56,0.043666667,1.971,-4.249,-5.310333333,-5.402,-162,-229,-111,-0.9874601758596,-0.977664483842255,0.63995031710681,1.41596331608068,-1.49150410979297,-1.64930699797449,-0.678,-0.1225,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2009,"EPWS",93,106,96,97,97,34,1.3503646029704,26.961208483,24.11,3.5983421250942,3.330723,4.158938,18922672128,1.8922672128,6.347,2.275,0.973,-0.56,0.043666667,1.971,-4.249,-5.310333333,-5.402,-162,-229,-111,-0.9874601758596,-0.977664483842255,0.63995031710681,1.41596331608068,-1.49150410979297,-1.64930699797449,-0.678,-0.1225,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2010,"WPWS",114,124,114,114,124,4,NA,0.705356039,23.32,NA,4.213748,5.152002,40616488960,4.061648896,5.886,3.082,2.589,0.5935,-2.04,-2.097,-5.238,-4.496,-5.2,-95,-406,-42,1.0559211789586,0.300673324421289,1.20937372574983,0.450287184807267,-0.166874648419975,-0.293116958965191,0.67,0.7125,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2010,"EPWS",92,114,97,100,103,72,1.38554094281286,35.65700796,23.32,4.36699669966997,4.092453,5.360291,18994757632,1.8994757632,5.886,3.082,2.589,0.5935,-2.04,-2.097,-5.238,-4.496,-5.2,-95,-406,-42,1.0559211789586,0.300673324421289,1.20937372574983,0.450287184807267,-0.166874648419975,-0.293116958965191,0.67,0.7125,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2011,"WPWS",104,104,104,104,104,4,NA,0.772204043,19.55,NA,4.141713,4.853311,43089375232,4.3089375232,5.934,2.996,1.782,-0.4965,1.439333333,-1.238,-3.342,-3.201333333,-1.979,-82,-143,-61,-1.82988968935128,-2.0943733738196,0.54620378031802,0.84957798964841,-1.41832016165081,-1.62872401255951,-0.784,0.7325,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2011,"EPWS",92,105,101,102,103,63,1.4161468075204,56.04420512,19.55,6.04725274725275,3.941454,5.187589,18147270656,1.8147270656,5.934,2.996,1.782,-0.4965,1.439333333,-1.238,-3.342,-3.201333333,-1.979,-82,-143,-61,-1.82988968935128,-2.0943733738196,0.54620378031802,0.84957798964841,-1.41832016165081,-1.62872401255951,-0.784,0.7325,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2012,"WPWS",116,116,116,116,116,1,NA,1.607566089,17.58,NA,3.354406,4.981543,45832208384,4.5832208384,5.674,2.134,1.032,-1.312,0.231666667,0.084,-3.822,-4.768333333,-3.253,-46,-65,-12,-0.965909653421441,-1.00215371388562,0.4541932905068,0.860428283258224,-1.79521749458291,-1.81397088129433,-0.012,0.1525,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2012,"EPWS",99,109,103,105,107,122,1.3740222814064,75.67595804,17.58,5.35100054083288,3.602436,5.606853,22466416640,2.246641664,5.674,2.134,1.032,-1.312,0.231666667,0.084,-3.822,-4.768333333,-3.253,-46,-65,-12,-0.965909653421441,-1.00215371388562,0.4541932905068,0.860428283258224,-1.79521749458291,-1.81397088129433,-0.012,0.1525,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2013,"WPWS",114,129,114,129,129,7,NA,6.006624337,14.77,NA,3.642962,4.045479,44368658432,4.4368658432,6.753,2.663,1.777,0.758,0.458666667,0.227,-3.262,-4.325666667,-3.519,-219,-148,-14,-0.105847894298535,-0.11564358631588,0.863900377213364,1.37473220036339,-1.01946764427607,-2.12728965927793,-0.456,-0.395,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2013,"EPWS",95,128,110,114,116,61,1.4248396470513,42.388750322,14.77,5.87959442332066,3.720918,4.161805,21075484672,2.1075484672,6.753,2.663,1.777,0.758,0.458666667,0.227,-3.262,-4.325666667,-3.519,-219,-148,-14,-0.105847894298535,-0.11564358631588,0.863900377213364,1.37473220036339,-1.01946764427607,-2.12728965927793,-0.456,-0.395,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2014,"WPWS",NA,NA,NA,NA,NA,NA,NA,NA,11.42,NA,3.533333,5.592938,35883646976,3.5883646976,7.225,3,1.994,0.3835,0.196666667,0.141,-4.18,-5.456666667,-3.424,-38,-144,-35,-0.331148810697474,-0.740118952421635,-0.705486090510085,0.34178424870913,-0.439484855249499,-1.08899239501112,-0.756,-0.1775,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2014,"EPWS",104,114,107,107,108,63,1.55350430866776,73.235085936,11.42,6.07656039515043,4.291215,5.732253,16954178560,1.695417856,7.225,3,1.994,0.3835,0.196666667,0.141,-4.18,-5.456666667,-3.424,-38,-144,-35,-0.331148810697474,-0.740118952421635,-0.705486090510085,0.34178424870913,-0.439484855249499,-1.08899239501112,-0.756,-0.1775,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2015,"WPWS",117,124,120,121,122,22,1.4019027601064,7.633188423,8.02,5.77922077922078,5.372435,5.927593,31202525184,3.1202525184,6.841,4.516,3.165,-0.1385,0.613666667,-0.323,-2.597,-5.798,-3.969,-93,-203,-28,0.186063727818351,0.0508831779789874,-0.684653526779242,-0.526239240075963,1.4559794016323,0.315224609966467,0.224,0.2975,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2015,"EPWS",101,118,103,107,114,43,1.38447501134342,20.614053153,8.02,6.99830795262267,5.48992,6.082699,15705845760,1.570584576,6.841,4.516,3.165,-0.1385,0.613666667,-0.323,-2.597,-5.798,-3.969,-93,-203,-28,0.186063727818351,0.0508831779789874,-0.684653526779242,-0.526239240075963,1.4559794016323,0.315224609966467,0.224,0.2975,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2016,"WPWS",NA,NA,NA,NA,NA,NA,NA,NA,6.42,NA,5.185368,6.797632,40512184320,4.051218432,7.095,4.062,3.932,-1.2975,-0.419333333,-2.683,-3.8345,-1.827,-4.438,-54,-346,-63,1.70439599050685,1.86063727818351,-0.419038339211004,-1.58522789639378,0.811960657981339,1.02419410759359,0.86,-0.1325,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2016,"EPWS",103,106,103,104,105,9,1.45015611281855,18.11227699,6.42,4.52622377622378,5.969742,6.7834,18225477632,1.8225477632,7.095,4.062,3.932,-1.2975,-0.419333333,-2.683,-3.8345,-1.827,-4.438,-54,-346,-63,1.70439599050685,1.86063727818351,-0.419038339211004,-1.58522789639378,0.811960657981339,1.02419410759359,0.86,-0.1325,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2017,"WPWS",NA,NA,NA,NA,NA,NA,1.14037843339484,NA,6.17,3.51207729468599,4.695522,6.205694,31569080320,3.156908032,6.463,3.769,2.352,-1.6885,-0.946666667,-2.024,-2.2435,-3.602,-2.37,-159,-71,-164,-0.468288498940306,-0.216049429493668,-0.504104641111943,-0.719374466330646,0.365538574314198,0.0682287849866959,0.084,-0.2275,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2017,"EPWS",103,111,105,105,109,27,1.13442755874234,16.23504689,6.17,3.72878338278932,4.577462,5.879571,15125584896,1.5125584896,6.463,3.769,2.352,-1.6885,-0.946666667,-2.024,-2.2435,-3.602,-2.37,-159,-71,-164,-0.468288498940306,-0.216049429493668,-0.504104641111943,-0.719374466330646,0.365538574314198,0.0682287849866959,0.084,-0.2275,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2018,"WPWS",NA,NA,NA,NA,NA,NA,1.58932497662081,NA,6.97,3.80205655526992,4.720439,5.10123,34919833600,3.49198336,7.014,3.036,2.223,0.155,-0.335333333,1.401,-4.6105,-2.904333333,-4.21,-108,-201,-18,-0.736690460215564,-0.654406647269865,-1.9450236324952,-0.508878770300261,-0.110157088609805,-0.133027072404228,-0.874,0.5975,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2018,"EPWS",97,107,97,98,98,15,1.37250870290415,4.592499253,6.97,4.1978277734678,4.406608,5.822682,17514311680,1.751431168,7.014,3.036,2.223,0.155,-0.335333333,1.401,-4.6105,-2.904333333,-4.21,-108,-201,-18,-0.736690460215564,-0.654406647269865,-1.9450236324952,-0.508878770300261,-0.110157088609805,-0.133027072404228,-0.874,0.5975,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2019,"EPWS",85,123,91,91,95,40,1.41278097607273,12.139369674,13.67,3.28523676880223,5.567433,6.483079,11932882944,1.1932882944,6.666,3.963,3.244,0.93,0.504666667,-1.671,-3.2595,-3.532666667,-1.14,-141,-91,-33,0.317326000850776,0.0214961019269519,-1.55267701556434,-1.8456349430293,-0.346175321368253,-0.206211020546383,-0.116,0.575,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2019,"WPWS",95,123,95,123,123,4,NA,0.54446603,13.67,NA,5.374216,6.139164,24796430336,2.4796430336,6.666,3.963,3.244,0.93,0.504666667,-1.671,-3.2595,-3.532666667,-1.14,-141,-91,-33,0.317326000850776,0.0214961019269519,-1.55267701556434,-1.8456349430293,-0.346175321368253,-0.206211020546383,-0.116,0.575,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
