"Year","Region","DOY_Start","DOY_End","DOY_cum25","DOY_cum50","DOY_cum75","N","Condition_factor","MDM_area","SSB","Mean_age","ICOADS.SST.mar.intp","ICOADS.SST.apr.int","FWinput.total","FWinput.total.t","NCEP.SST.fa","NCEP.SST.wi","NCEP.SST.sp","NCEP.MerWind.fa","NCEP.MerWind.wi","NCEP.MerWind.sp","NCEP.ZonWind.fa","NCEP.ZonWind.wi","NCEP.ZonWind.sp","Upwell.fa","Upwell.wi","Upwell.sp","a.MEI.v2.wi","a.MEI.v2.su","a.NPGO.wi","a.NPGO.su","a.PDO.wi","a.PDO.su","a.PNA.wi","a.PNA.su","RS_SSB_10","RS_SSB_5","RS_SP_10","RS_SP_5"
1985,"WPWS",117,127,120,120,121,170,1.32500880005456,100.53422965,107.97,5.54065040650407,3.885714,5.6,32309465088,3.2309465088,4.734,3.231,1.993,-0.089,3.669,0.293,-2.852,-5.931666667,-4.166,-130,-241,-31,-0.48200246776459,-0.343393425719156,0.157329257342298,0.389525540592311,0.444211318567013,0.00647982874175325,-0.45,-1.0325,"98.3496108974699","113.936126098969","10.2076160414834","113.936126098969"
1985,"EPWS",90,126,114,117,120,132,1.25625275156878,57.848892226,107.97,4.96478873239437,4.4,4.4,16830858240,1.683085824,4.734,3.231,1.993,-0.089,3.669,0.293,-2.852,-5.931666667,-4.166,-130,-241,-31,-0.48200246776459,-0.343393425719156,0.157329257342298,0.389525540592311,0.444211318567013,0.00647982874175325,-0.45,-1.0325,"98.3496108974699","113.936126098969","10.2076160414834","113.936126098969"
1986,"WPWS",105,123,109,111,115,177,1.52331883056668,93.823353299,93.38,6.01391035548686,4,5.55,37023547392,3.7023547392,6.188,2.094,1.725,2.7685,4.099666667,1.778,-4.3695,-5.009333333,-4.983,-78,-471,-88,-0.29980259624197,-0.370331578766855,-1.18984319725217,-0.343954307431093,0.780857480020923,0.274058639136505,0.154,-0.0175,"98.3496108974699","113.936126098969","10.2076160414834","113.936126098969"
1986,"EPWS",76,134,113,115,117,179,1.53185555768175,53.080319951,93.38,5.5089552238806,6.1,3.8,18820818944,1.8820818944,6.188,2.094,1.725,2.7685,4.099666667,1.778,-4.3695,-5.009333333,-4.983,-78,-471,-88,-0.29980259624197,-0.370331578766855,-1.18984319725217,-0.343954307431093,0.780857480020923,0.274058639136505,0.154,-0.0175,"98.3496108974699","113.936126098969","10.2076160414834","113.936126098969"
1987,"WPWS",96,130,100,101,118,177,1.42761015746044,107.27782304,127.84,5.84396871140387,5.4,5.3,40897261568,4.0897261568,5.937,3.278,1.812,3.3345,2.947,4.232,-3.2945,-3.876666667,-4.723,-170,-328,-77,0.999106165258,0.716990235158459,0.016709452159113,-0.858258224536261,1.47610498737139,0.404417546764717,0.48,-0.4325,"98.3496108974699","113.936126098969","10.2076160414834","113.936126098969"
1987,"EPWS",90,128,102,110,122,168,1.35124664626012,79.53151626,127.84,3.74146130566364,7.8,5.6,20813420544,2.0813420544,5.937,3.278,1.812,3.3345,2.947,4.232,-3.2945,-3.876666667,-4.723,-170,-328,-77,0.999106165258,0.716990235158459,0.016709452159113,-0.858258224536261,1.47610498737139,0.404417546764717,0.48,-0.4325,"98.3496108974699","113.936126098969","10.2076160414834","113.936126098969"
1988,"WPWS",109,122,112,114,115,170,1.31779968082965,143.97070201,141.19,4.55982730263158,4.446154,5.035294,41020207104,4.1020207104,5.453,3.424,2.055,2.27,1.730666667,-1.254,-4.1335,-2.475666667,-4.543,-85,-290,-77,0.499525872373396,1.60105143972386,0.589604954757275,0.168179550952112,0.632659985033061,1.12710903466849,0.694,-0.4325,"98.3496108974699","113.936126098969","-2.48132440727637","113.936126098969"
1988,"EPWS",88,122,112,114,115,231,1.32779099440136,127.069885189,141.19,5.01578073089701,5.6,5.07,21171568640,2.117156864,5.453,3.424,2.055,2.27,1.730666667,-1.254,-4.1335,-2.475666667,-4.543,-85,-290,-77,0.499525872373396,1.60105143972386,0.589604954757275,0.168179550952112,0.632659985033061,1.12710903466849,0.694,-0.4325,"98.3496108974699","113.936126098969","-2.48132440727637","113.936126098969"
1989,"WPWS",93,110,103,104,107,250,1.3222185752537,159.69758995,132.06,5.29744101030243,3.492308,4.770588,39198699520,3.919869952,5.474,2.248,1.104,1.575,2.333,2.226,-3.012,-3.053333333,-6.006,-162,-164,-116,-1.2911266283973,-1.62418015698704,0.73022475994046,1.21848797238207,-0.682821482822162,-0.338856926554037,-0.88,0.33,"98.3496108974699","113.936126098969","-2.48132440727637","113.936126098969"
1989,"EPWS",90,105,99,102,103,108,1.30618339348983,68.509925835,132.06,5.35794871794872,3.3,4.54,19334893568,1.9334893568,5.474,2.248,1.104,1.575,2.333,2.226,-3.012,-3.053333333,-6.006,-162,-164,-116,-1.2911266283973,-1.62418015698704,0.73022475994046,1.21848797238207,-0.682821482822162,-0.338856926554037,-0.88,0.33,"98.3496108974699","113.936126098969","-2.48132440727637","113.936126098969"
