"Year","Region","DOY_Start","DOY_End","DOY_cum25","DOY_cum50","DOY_cum75","N","Condition_factor","MDM_area","SSB","Mean_age","ICOADS.SST.mar.intp","ICOADS.SST.apr.int","FWinput.total","FWinput.total.t","NCEP.SST.fa","NCEP.SST.wi","NCEP.SST.sp","NCEP.MerWind.fa","NCEP.MerWind.wi","NCEP.MerWind.sp","NCEP.ZonWind.fa","NCEP.ZonWind.wi","NCEP.ZonWind.sp","Upwell.fa","Upwell.wi","Upwell.sp","a.MEI.v2.wi","a.MEI.v2.su","a.NPGO.wi","a.NPGO.su","a.PDO.wi","a.PDO.su","a.PNA.wi","a.PNA.su"
1990,"WPWS",98,112,106,107,108,111,1.24866731610581,74.399020674,111.8,6.10804020100502,3.758654,4.585294,38429278208,3.8429278208,5.529,2.129,1.547,-1.2375,2.591333333,2.028,-2.2965,-3.195333333,-0.351,-90,-213,-71,0.131207852521218,-0.879707563668804,-0.0909254604502385,0.552279944739516,-0.622444725604885,-0.00495516315545834,-0.792,-0.2525
1991,"WPWS",97,128,112,116,125,61,1.27973648863441,38.56613806,104.08,5.02954375467464,4.025,4.4,38920323072,3.8920323072,6.002,2.011,1.321,1.469,2.934,4.657,-4.216,-4.101333333,-2.65,-90,-155,1,0.139044406135094,0.0900659460483681,-0.835689613827849,-0.298383074269876,-1.40917216813304,-0.21307201568471,-0.632,-0.0875
1992,"WPWS",103,118,114,115,117,142,1.17039836603439,68.087834103,88.81,5.10462854920265,4.440909,4.797143,36698693632,3.6698693632,4.69,3.206,2.215,3.1475,1.708333333,1.63,-3.5475,-2.353,-4.542,-181,-255,-24,1.43599402923159,0.660665006058724,-0.323555755444644,-0.639082293618025,0.204533888401458,-0.848857565169675,0.386,0.0575
1993,"WPWS",97,117,103,105,108,117,1.1057278056401,38.73677215,46.89,5.27704722056187,4.01393933333333,6.7,41502326784,4.1502326784,5.959,2.964,2.19,2.1615,1.846666667,3.491,-1.822,-5.464666667,-4.146,-81,-114,-47,0.765968695245185,0.687603159106423,-1.83044453197557,-1.20763767877226,0.369197771721305,0.992176130281393,-0.166,0.0600000000000001
1994,"WPWS",106,115,110,111,111,56,1.18005992107372,21.38444619,24.04,5.90423708057801,3.58696966666667,5.275,36048601088,3.6048601088,5.483,2.924,2.081,0.557,2.258333333,-0.257,-2.5505,-4.672,-4.54,-25,-458,-31,0.0900659460483681,0.871272384431645,-1.97627247809146,-1.62211889466714,0.667422360400584,1.59136970569528,-0.354,-0.19
1995,"WPWS",117,122,117,118,119,36,1.22056145462344,18.63775503,23.42,5.68221343873518,3.16,3.85,39957778432,3.9957778432,6.444,2.503,1.664,-1.7695,-1.881,-1.231,-4.695,-3.857,-3.032,-61,-315,-93,0.609237622967662,0.714541312154123,-1.3044222977718,-0.832217519872708,-0.756005430964316,-0.659036699675962,-0.062,-1.205
1996,"WPWS",105,126,110,110,111,40,1.265761674457,19.8831081,23.27,4.65497076023392,3.723163,4.908842,27028660224,2.7028660224,5.527,2.602,1.686,-2.373,-0.888666667,-1.822,-3.4705,-6.104666667,-5.15,-209,-366,-31,-0.7660775362676,-0.458492806922961,-0.623891882564286,-1.08611439034235,0.687547946139676,0.790920272890469,-0.448,0.2625
1997,"WPWS",105,111,108,109,110,67,1.27808023317811,34.756064928,25.71,5.34408329101067,3.730081,4.621601,41549914112,4.1549914112,7.106,2.526,1.625,-0.0175,0.990666667,-0.142,-3.7655,-5.698333333,-3.899,-132,-284,-91,-0.50159385179928,-0.64461095525252,-1.13081760001478,-0.905999516419441,0.341753791167997,0.319798606725351,-0.584,-0.55
1998,"WPWS",95,112,101,102,109,87,1.25795628714915,34.544935916,20.58,4.91171617161716,5.490752,6.199375,37639438336,3.7639438336,6.229,3.979,3.415,-0.084,-0.156,1.031,-3.944,-4.005666667,-5.006,-110,-328,-14,2.1314881624631,2.11042742462581,0.530579357519888,-0.767115758213826,1.23093876109517,1.9275584674733,0.718,-0.12
1999,"WPWS",106,112,108,109,110,20,1.29183588405511,14.30966879,15.52,5.85204702067288,3.997802,4.59285,36845387776,3.6845387776,5.396,3.444,2.048,1.3515,1.822666667,1.084,-4.5515,-4.392666667,-5.053,-75,-314,-52,-1.22255678427588,-1.03154078993765,1.06701787358908,0.0575065561320124,-0.856633359659778,-0.958633487382906,-0.042,0.395
