"Year","Region","DOY_Start","DOY_End","DOY_cum25","DOY_cum50","DOY_cum75","N","Condition_factor","MDM_area","SSB","Mean_age","ICOADS.SST.mar.intp","ICOADS.SST.apr.int","FWinput.total","FWinput.total.t","NCEP.SST.fa","NCEP.SST.wi","NCEP.SST.sp","NCEP.MerWind.fa","NCEP.MerWind.wi","NCEP.MerWind.sp","NCEP.ZonWind.fa","NCEP.ZonWind.wi","NCEP.ZonWind.sp","Upwell.fa","Upwell.wi","Upwell.sp","a.MEI.v2.wi","a.MEI.v2.su","a.NPGO.wi","a.NPGO.su","a.PDO.wi","a.PDO.su","a.PNA.wi","a.PNA.su"
1995,"EPWS",96,110,98,102,104,35,1.27388481390406,9.59218221,23.42,6.05033238366572,4.330243,3.9,19390779392,1.9390779392,6.444,2.503,1.664,-1.7695,-1.881,-1.231,-4.695,-3.857,-3.032,-61,-315,-93,0.609237622967662,0.714541312154123,-1.3044222977718,-0.832217519872708,-0.756005430964316,-0.659036699675962,-0.062,-1.205
1996,"EPWS",93,110,103,106,108,75,1.2474458462229,17.381950093,23.27,5.53018282166264,3.860486,4.775314,12548356096,1.2548356096,5.527,2.602,1.686,-2.373,-0.888666667,-1.822,-3.4705,-6.104666667,-5.15,-209,-366,-31,-0.7660775362676,-0.458492806922961,-0.623891882564286,-1.08611439034235,0.687547946139676,0.790920272890469,-0.448,0.2625
1997,"EPWS",88,111,96,101,103,102,1.25791318625821,29.55660764,25.71,5.36084284460053,3.990264,4.782999,19875446784,1.9875446784,7.106,2.526,1.625,-0.0175,0.990666667,-0.142,-3.7655,-5.698333333,-3.899,-132,-284,-91,-0.50159385179928,-0.64461095525252,-1.13081760001478,-0.905999516419441,0.341753791167997,0.319798606725351,-0.584,-0.55
1998,"EPWS",82,112,84,86,101,76,1.14093549277399,26.105410443,20.58,3.80365296803653,5.277984,5.855462,18399258624,1.8399258624,6.229,3.979,3.415,-0.084,-0.156,1.031,-3.944,-4.005666667,-5.006,-110,-328,-14,2.1314881624631,2.11042742462581,0.530579357519888,-0.767115758213826,1.23093876109517,1.9275584674733,0.718,-0.12
1999,"EPWS",84,110,96,99,108,63,1.23859194446226,26.371602447,15.52,4.58171745152355,3.995772,4.592308,17407176704,1.7407176704,5.396,3.444,2.048,1.3515,1.822666667,1.084,-4.5515,-4.392666667,-5.053,-75,-314,-52,-1.22255678427588,-1.03154078993765,1.06701787358908,0.0575065561320124,-0.856633359659778,-0.958633487382906,-0.042,0.395
2000,"EPWS",94,105,101,102,102,35,1.29684648161212,22.248171227,14.59,4.76594387755102,3.784979,5.24695,20569862144,2.0569862144,5.629,2.632,2.174,-0.648,0.514,-0.241,-4.9155,-5.315666667,-5.025,-148,-166,-49,-1.33030939646668,-1.17602724719349,1.2753435108975,1.18593709155263,-1.4347865499828,-1.8231188748121,0.162,0.4475
2001,"EPWS",79,105,100,100,100,11,1.32193455324727,6.733492422,13.82,5.50456204379562,4.669853,5.259263,20208541696,2.0208541696,6.195,3.245,2.741,-0.9,-0.227,-3.422,-3.909,-5.002333333,-3.18,-101,-226,-63,-0.848361349213299,-0.556449727096413,2.02878789916296,1.28792985148488,-0.106497891202697,-1.13473236259996,0.558,-1.365
2002,"EPWS",79,115,98,102,106,20,1.32399334396185,11.280759812,17.96,4.01353310778154,4.890991,5.756672,21458370560,2.145837056,6.604,2.953,1.492,1.3745,-0.278,-3.214,-6.2055,-5.331666667,-4.317,-114,-232,-31,-0.162662907999137,-0.140132816359243,1.56699940312929,1.54182672195452,-0.946283696133917,-1.54867906927902,-0.216,-0.3375
2003,"EPWS",60,113,93,101,101,71,1.31056309574612,18.180776004,24.97,4.40569928758905,5.272801,5.891989,19105353728,1.9105353728,6.696,4.426,3.274,-1.6115,-1.093333333,-0.011,-3.251,-5.022,-1.95,-111,-188,-77,0.671930051878671,0.616584391980671,1.39860284630498,0.882128870477851,1.23276835979873,-0.382309895763441,0.814,0.4175
2004,"EPWS",98,111,100,100,103,35,1.2706422268878,19.226522077,24.95,5.0325011775789,3.9,5.7369085,19176873984,1.9176873984,5.95,3.018,2.207,0.2965,-1.452666667,0.817,-3.3565,-3.994666667,-4.521,-43,-354,-23,-0.0137683893354907,-0.00544205112074731,0.127816458723605,0.66729305700354,-0.24554739267279,0.166569715302716,-0.018,0.12
2005,"EPWS",78,107,94,97,97,51,1.30380558852829,26.667986472,20.1,5.32122587968218,4.580851,5.581828,22270171136,2.2270171136,6.269,2.846,2.282,-0.649,-0.000333333,-2.511,-3.6035,-4.767,-4.434,-39,-272,-93,0.468179657917892,0.308020093434298,-1.17421877445403,0.369995012094646,-0.168704247123528,0.116255750954985,0.016,0.2
2006,"EPWS",85,105,85,86,88,34,1.24644245449023,19.301138067,18.23,5.89509143407122,4.785436,5.163558,20978446336,2.0978446336,5.901,3.199,2.06,-1.97,-0.667333333,-3.124,-4.136,-4.605666667,-3.212,-240,-368,-126,-0.668120616094148,0.00190471789226156,-1.04748734509141,-1.34435137825591,-0.258354583597667,-0.0301121453293239,-0.154,0.6025
2007,"EPWS",87,129,93,96,101,35,1.34068810513745,9.868777565,21.28,5.63611859838275,3.684684,4.449296,16057901056,1.6057901056,5.83,2.262,1.277,1.2915,-1.075666667,0.709,-4.5425,-4.792,-4.952,-262,-335,-219,0.419201197831166,0.234552403304209,-0.512784875999794,-0.411226127811938,-0.609637534680008,-0.336569928174595,-0.012,-0.2175
2008,"EPWS",88,115,102,102,102,27,1.37707245883551,11.391949627,26.14,5.99051094890511,3.515138,4.290238,20081606656,2.0081606656,5.785,2.576,1.351,0.3545,-1.740666667,-0.944,-3.35,-3.524,-4.237,-147,-432,-152,-1.24998472192445,-0.923788177746857,0.619117753375968,0.923359986195143,-1.1255843690822,-0.0461211339854201,-0.162,1.2075
2009,"EPWS",93,106,96,97,97,34,1.3503646029704,26.961208483,24.11,3.5983421250942,3.330723,4.158938,18922672128,1.8922672128,6.347,2.275,0.973,-0.56,0.043666667,1.971,-4.249,-5.310333333,-5.402,-162,-229,-111,-0.9874601758596,-0.977664483842255,0.63995031710681,1.41596331608068,-1.49150410979297,-1.64930699797449,-0.678,-0.1225
2010,"EPWS",92,114,97,100,103,72,1.38554094281286,35.65700796,23.32,4.36699669966997,4.092453,5.360291,18994757632,1.8994757632,5.886,3.082,2.589,0.5935,-2.04,-2.097,-5.238,-4.496,-5.2,-95,-406,-42,1.0559211789586,0.300673324421289,1.20937372574983,0.450287184807267,-0.166874648419975,-0.293116958965191,0.67,0.7125
2011,"EPWS",92,105,101,102,103,63,1.4161468075204,56.04420512,19.55,6.04725274725275,3.941454,5.187589,18147270656,1.8147270656,5.934,2.996,1.782,-0.4965,1.439333333,-1.238,-3.342,-3.201333333,-1.979,-82,-143,-61,-1.82988968935128,-2.0943733738196,0.54620378031802,0.84957798964841,-1.41832016165081,-1.62872401255951,-0.784,0.7325
2012,"EPWS",99,109,103,105,107,122,1.3740222814064,75.67595804,17.58,5.35100054083288,3.602436,5.606853,22466416640,2.246641664,5.674,2.134,1.032,-1.312,0.231666667,0.084,-3.822,-4.768333333,-3.253,-46,-65,-12,-0.965909653421441,-1.00215371388562,0.4541932905068,0.860428283258224,-1.79521749458291,-1.81397088129433,-0.012,0.1525
2013,"EPWS",95,128,110,114,116,61,1.4248396470513,42.388750322,14.77,5.87959442332066,3.720918,4.161805,21075484672,2.1075484672,6.753,2.663,1.777,0.758,0.458666667,0.227,-3.262,-4.325666667,-3.519,-219,-148,-14,-0.105847894298535,-0.11564358631588,0.863900377213364,1.37473220036339,-1.01946764427607,-2.12728965927793,-0.456,-0.395
2014,"EPWS",104,114,107,107,108,63,1.55350430866776,73.235085936,11.42,6.07656039515043,4.291215,5.732253,16954178560,1.695417856,7.225,3,1.994,0.3835,0.196666667,0.141,-4.18,-5.456666667,-3.424,-38,-144,-35,-0.331148810697474,-0.740118952421635,-0.705486090510085,0.34178424870913,-0.439484855249499,-1.08899239501112,-0.756,-0.1775
2015,"EPWS",101,118,103,107,114,43,1.38447501134342,20.614053153,8.02,6.99830795262267,5.48992,6.082699,15705845760,1.570584576,6.841,4.516,3.165,-0.1385,0.613666667,-0.323,-2.597,-5.798,-3.969,-93,-203,-28,0.186063727818351,0.0508831779789874,-0.684653526779242,-0.526239240075963,1.4559794016323,0.315224609966467,0.224,0.2975
2016,"EPWS",103,106,103,104,105,9,1.45015611281855,18.11227699,6.42,4.52622377622378,5.969742,6.7834,18225477632,1.8225477632,7.095,4.062,3.932,-1.2975,-0.419333333,-2.683,-3.8345,-1.827,-4.438,-54,-346,-63,1.70439599050685,1.86063727818351,-0.419038339211004,-1.58522789639378,0.811960657981339,1.02419410759359,0.86,-0.1325
2017,"EPWS",103,111,105,105,109,27,1.13442755874234,16.23504689,6.17,3.72878338278932,4.577462,5.879571,15125584896,1.5125584896,6.463,3.769,2.352,-1.6885,-0.946666667,-2.024,-2.2435,-3.602,-2.37,-159,-71,-164,-0.468288498940306,-0.216049429493668,-0.504104641111943,-0.719374466330646,0.365538574314198,0.0682287849866959,0.084,-0.2275
2018,"EPWS",97,107,97,98,98,15,1.37250870290415,4.592499253,6.97,4.1978277734678,4.406608,5.822682,17514311680,1.751431168,7.014,3.036,2.223,0.155,-0.335333333,1.401,-4.6105,-2.904333333,-4.21,-108,-201,-18,-0.736690460215564,-0.654406647269865,-1.9450236324952,-0.508878770300261,-0.110157088609805,-0.133027072404228,-0.874,0.5975
2019,"EPWS",85,123,91,91,95,40,1.41278097607273,12.139369674,13.67,3.28523676880223,5.567433,6.483079,11932882944,1.1932882944,6.666,3.963,3.244,0.93,0.504666667,-1.671,-3.2595,-3.532666667,-1.14,-141,-91,-33,0.317326000850776,0.0214961019269519,-1.55267701556434,-1.8456349430293,-0.346175321368253,-0.206211020546383,-0.116,0.575
